,Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,hashtag,cleaned words,Segmented#
0,0,Dr. Danielle Lawson,@DanielleFLawson,2021-04-01T23:54:34.000Z,"“How do we cover from COVID, environmental disasters, and more? By putting JUSTICE in the CENTER.” - Dr. Robert Bullard",,,1,1,6,[],https://twitter.com/DanielleFLawson/status/1377771400979755008,[],"['cover', 'covid', 'environmental', 'disaster', 'putting', 'justice', 'center', 'dr', 'robert', 'bullard']",
1,1,Park Wolfpack Wrestling,@WolfpackPark,2021-04-01T23:58:34.000Z,JC has been awarded our - hopefully - only ever Covid Award! Through quarantines that took away a lot of his season he stuck with us working hard despite the set backs,,,,,4,['https://pbs.twimg.com/media/Ex7UswQWYAAS6gN?format=jpg&name=900x900'],https://twitter.com/WolfpackPark/status/1377772406757015564,[],"['jc', 'ha', 'awarded', 'hopefully', 'ever', 'covid', 'award', 'quarantine', 'took', 'away', 'lot', 'season', 'stuck', 'u', 'working', 'hard', 'despite', 'set', 'back']",
2,2,The Citizen Pundit,@1citizenpundit,2021-04-01T23:53:56.000Z,Employers can't require Covid-19 vaccination under an EUA - STAT,"Employers can't require Covid-19 vaccination under an EUA - STAT
Organizations are free to encourage Covid-19 vaccination by employees and others, but federal law prohibits them from requiring it.
statnews.com",,1,6,8,['https://pbs.twimg.com/card_img/1386726853117988864/HBd4FP89?format=jpg&name=small'],https://twitter.com/1citizenpundit/status/1377771239968755712,[],"['employer', 'cant', 'require', 'covid', 'vaccination', 'eua', 'stat']",
3,3,#SurvivedAndPunished,@COLBYLENZ,2021-04-01T23:54:58.000Z,"People with #COVID19 at CCWF women's prisons are currently being held in the gym, crowded in a corner with bunks crammed next to each other, their sleep interrupted by guards watching TV loudly all night. Most of those who are sick were already fully vaccinated.",,,1,20,36,[],https://twitter.com/COLBYLENZ/status/1377771500342681600,['COVID19'],"['people', 'covid', 'ccwf', 'womens', 'prison', 'currently', 'held', 'gym', 'crowded', 'corner', 'bunk', 'crammed', 'next', 'sleep', 'interrupted', 'guard', 'watching', 'tv', 'loudly', 'night', 'sick', 'already', 'fully', 'vaccinated']",covid 19
4,4,justjessylynn,@jessylynn40,2021-04-01T23:55:38.000Z,This is why we can’t have nice things. 552k dead Americans and still fighting! #COVID19,"Quote Tweet
KelliX84 (Pantyhose Priestess)
@KelliX84
 · Apr 2
Replying to @GovInslee and @Mariners
Take off the Damn Mask. Stop spreading fear and panic! #COVID19 is dying out and we need to see our faces again!",,,2,3,['https://pbs.twimg.com/profile_images/1375863172117135364/lxOF9a0p_mini.jpg'],https://twitter.com/jessylynn40/status/1377771671294070785,['COVID19'],"['nice', 'thing', 'k', 'dead', 'american', 'still', 'fighting', 'covid']",covid 19
5,5,"Chris 53
#OsimeBrown, we need a new party",@bodhititus2019,2021-04-01T23:55:27.000Z,"Cnn
The AZ vacine is 90 pc ineffective against the south African variant of covid 19
We are totally tory fooked!!!",,💙,1,3,4,[],https://twitter.com/bodhititus2019/status/1377771624460615681,[],"['cnn', 'az', 'vacine', 'pc', 'ineffective', 'south', 'african', 'variant', 'covid', 'totally', 'tory', 'fooked']",
6,6,,@evelinizzle,2021-04-01T23:53:07.000Z,"I just got my first dose of the covid vaccine, legendary",,☘ 🥲 🥲 🥲,1,,22,[],https://twitter.com/evelinizzle/status/1377771038470074368,[],"['got', 'first', 'dose', 'covid', 'vaccine', 'legendary']",
7,7,Star Tribune,@StarTribune,2021-04-01T23:59:00.000Z,"A viral variant has become a dominant source of COVID-19 in Minnesota, causing as many as 65% of new infections and driving the state's case and hospitalization rates to some of the highest in the U.S.","Variants make Minnesota new COVID-19 epicenter
State epidemiologist commends prevention efforts in Carver County for tapering variant-driven COVID-19 growth.
startribune.com",,21,26,23,['https://pbs.twimg.com/card_img/1388152581138960384/fObl2k3t?format=jpg&name=small'],https://twitter.com/StarTribune/status/1377772515926319105,[],"['viral', 'variant', 'ha', 'become', 'dominant', 'source', 'covid', 'minnesota', 'causing', 'many', 'new', 'infection', 'driving', 'states', 'case', 'hospitalization', 'rate', 'highest', 'u']",
8,8,Greg Marsden,@UtahMarz,2021-04-01T23:58:12.000Z,"What's wrong with the NCAA?

1. After Auburn withdrew due to COVID protocol, the play-in meet at Alabama should have been canceled and both MD & EMU should have competed on Friday...",,,3,17,200,[],https://twitter.com/UtahMarz/status/1377772314952011777,[],"['whats', 'wrong', 'ncaa', 'auburn', 'withdrew', 'due', 'covid', 'protocol', 'playin', 'meet', 'alabama', 'canceled', 'md', 'emu', 'competed', 'friday']",
9,9,Anoka Baseball,@AnokaBaseball,2021-04-01T23:59:11.000Z,"Hey... the legendary Castle Card is back!!!! The best $20 you’ll spend during Covid! 

Let me know if you want one and I can get a player to you! As the kids say, “slide into my DMs...” or something like that. Feel free to share on your SnapFace and ChatGram... even MySpace.",,,,2,16,"['https://pbs.twimg.com/media/Ex7U15qXMAAwMcA?format=jpg&name=small', 'https://pbs.twimg.com/media/Ex7U15lWUAY6OCO?format=jpg&name=small']",https://twitter.com/AnokaBaseball/status/1377772562361499648,[],"['hey', 'legendary', 'castle', 'card', 'back', 'best', 'spend', 'covid', 'let', 'know', 'want', 'one', 'get', 'player', 'kid', 'say', 'slide', 'dm', 'something', 'like', 'feel', 'free', 'share', 'snapface', 'chatgram', 'even', 'myspace']",
